image,score,comment,type of equation
1,1,,замена
2,1,,замена
3,0,Тригонометрическое уравнение решено неверно. Во второй строчке в правой части отсутствует знак минус – ошибка в формуле приведения. Пункт а не выполнен (не из-за вычислительной ошибки).,замена
4,1,,смешанное
5,1,,смешанное
6,0,Тригонометрическое уравнение cosx=-1 решено неверно. ,смешанное
7,0,"Получены неверные ответы из-за вычислительной ошибки при вычислении t2, но при этом имеется верная последовательность всех шагов решения обоих пунктов: пункта а и пункта б",смешанное
8,0,Получены неверные ответы не из-за вычислительной ошибки при нахождении корней квадратного уравнения. ,смешанное
9,1,,смешанное
10,0,"При решении простейшего логарифмического уравнения допущена ошибка, которая не является вычислительной, кроме того, при нахождении ОДЗ допущена ошибка, которая никак не может быть отнесена к вычислительной. Любая из этих ошибок уже не позволяет выставить положительный балл. Типичный пример выставления 0 баллов.",смешанное
11,1,,разложение на множители
12,1,,разложение на множители
13,1,,разложение на множители
14,1,,разложение на множители
15,1,,разложение на множители
16,1,,смешанное
17,1,,смешанное
18,1,,разложение на множители
19,1,,замена
20,1,,замена
21,1,,замена
22,1,,замена
23,1,,замена
24,1,,замена
25,1,,замена
26,0,Тригонометрическое уравнение решено неверно. Во второй строчке в правой части отсутствует знак минус – ошибка в формуле приведения. Пункт а не выполнен (не из-за вычислительной ошибки).,замена
27,1,,смешанное
28,1,,смешанное
29,0,Тригонометрическое уравнение cosx=-1 решено неверно. ,смешанное
30,1,,разложение на множители
31,1,,разложение на множители
32,1,,разложение на множители
33,1,,замена
34,1,,разложение на множители
35,1,,разложение на множители
36,1,,разложение на множители
37,1,,разложение на множители
38,1,,разложение на множители
39,0,Неверно решено второе тригонометрическое уравнение в пункте а.,разложение на множители
40,1,,замена
41,1,,замена
42,0,Тригонометрическое уравнение решено неверно,замена
43,1,,разложение на множители
44,1,,разложение на множители
45,1,,разложение на множители
46,1,,разложение на множители
47,1,,замена
48,1,,разложение на множители
49,1,,разложение на множители
50,1,,разложение на множители
51,1,,разложение на множители
52,1,,разложение на множители
53,1,,разложение на множители
54,1,,разложение на множители
55,0,уравнение с синусом решено неверно,разложение на множители
56,1,,разложение на множители
57,1,,разложение на множители
58,1,,разложение на множители
59,0,уравнение с синусом решено неверно,разложение на множители
60,1,,замена
61,1,,разложение на множители
62,1,,замена
63,1,,замена
64,1,,разложение на множители
65,1,,разложение на множители
66,1,,разложение на множители
67,1,,разложение на множители
68,1,,разложение на множители
69,1,,разложение на множители
70,0, неверно решено простейшее тригонометрическое уравнение sin 1 ,разложение на множители
71,1,,замена
72,1,,разложение на множители
73,1,,разложение на множители
74,0,уравнение с синусом решено неверно,разложение на множители
75,1,,разложение на множители
76,1,,разложение на множители
77,1,,разложение на множители
78,0,Неверно решены тригонометрические уравнения sin 1. ,разложение на множители
79,1,,разложение на множители
80,1,,разложение на множители
81,1,,разложение на множители
82,0,Неверное разложение на множители в 5-й строке пункта «а».,разложение на множители
83,0,неверно решено уравение с тангенсом,разложение на множители
84,1,,разложение на множители
85,1,,разложение на множители
86,1,,разложение на множители
87,1,,разложение на множители
88,1,,замена
89,0,неверная вторая строчка,замена
90,1,,разложение на множители
91,1,,разложение на множители
92,1,,разложение на множители
93,0,ошибка во второй строчке,разложение на множители
94,1,,разложение на множители
95,1,,разложение на множители
96,1,,замена
97,1,,разложение на множители
98,1,,замена
99,1,,разложение на множители
100,1,,разложение на множители
101,1,,разложение на множители
102,1,,разложение на множители
103,1,,разложение на множители
104,1,,разложение на множители
105,1,,разложение на множители
106,1,,замена
107,0,неверно решено уравнение с косинусом,замена
108,1,,смешанное
109,1,,разложение на множители
110,1,,смешанное
111,1,,замена
112,1,,смешанное
113,0,деление на функцию,разложение на множители
114,1,,разложение на множители
115,1,,разложение на множители
116,0,нет ответа,разложение на множители
117,0,нет ответа,разложение на множители
118,0,потерян коэффициент,разложение на множители
119,1,,разложение на множители
120,1,,разложение на множители
121,1,,разложение на множители
122,0,неправильный ответ,разложение на множители
123,0,неверно записанные ограничения,смешанное
124,1,,смешанное
125,1,,замена
126,0,неверно использована формула трионометрии,разложение на множители
127,1,,разложение на множители
128,1,,разложение на множители
129,0,не сделана замена,разложение на множители
130,1,,разложение на множители
131,1,,разложение на множители
132,1,,замена
133,1,,замена
134,1,,разложение на множители
135,1,,замена
136,1,,разложение на множители
137,1,,разложение на множители
138,1,,разложение на множители
139,1,,разложение на множители
140,1,,разложение на множители
141,1,,разложение на множители
142,1,,разложение на множители
143,1,,разложение на множители
144,1,,разложение на множители
145,1,,разложение на множители
146,1,,смешанное
147,1,,разложение на множители
148,0,ошибка в формуле приведения,разложение на множители
149,1,,разложение на множители
150,1,,разложение на множители
151,1,,разложение на множители
152,1,,разложение на множители
153,1,,разложение на множители
154,1,,разложение на множители
155,1,,разложение на множители
156,1,,замена
157,1,,разложение на множители
158,1,,разложение на множители
159,1,,разложение на множители
160,1,,разложение на множители
161,1,,разложение на множители
162,1,,разложение на множители
163,1,,замена
164,1,,смешанное
165,1,,смешанное
166,1,,смешанное
167,1,,смешанное
168,1,,разложение на множители
169,1,,разложение на множители
170,1,,смешанное
171,1,,разложение на множители
172,0,ошибка в корнях уравнения с тангенсом,разложение на множители
173,1,,смешанное
174,1,,смешанное
175,1,,смешанное
176,1,,разложение на множители
177,1,,смешанное
178,1,,разложение на множители
179,1,,разложение на множители
180,1,,разложение на множители
181,1,,разложение на множители
182,1,,разложение на множители
183,0,неверно найдены корни уравнения с синусом,разложение на множители
184,1,,разложение на множители
185,0,неверно найдены корни уравнения с синусом,разложение на множители
186,1,,разложение на множители
187,1,,разложение на множители
188,1,,разложение на множители
189,1,,разложение на множители
190,1,,разложение на множители
191,1,,разложение на множители
192,1,,разложение на множители
193,1,,разложение на множители
194,1,,разложение на множители
195,1,,замена
196,1,,смешанное
197,1,,разложение на множители
198,1,,разложение на множители
199,1,,замена
200,1,,разложение на множители